cik,company,ticker,market_cap_usd_billion,gics_sector,gics_sub_industry,headquarters,founded,research,passes
1075531,Booking Holdings,BKNG,166.4270336,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1996,"{'screening_result': 'Booking Holdings is highly sensitive to consumer discretionary spending and travel demand. Higher oil prices directly lead to higher airfares, which historically discourages travel and reduces booking volumes. The company\'s 10-K explicitly states that higher oil prices may result in higher airfares and decreased travel activity, which can negatively affect their results [Document ID: 15, 20]. This fits the ""Consumer discretionary sensitivity"" criterion.', 'passes': 'Booking Holdings is highly sensitive to consumer discretionary spending and travel demand. Higher oil prices directly lead to higher airfares, which historically discourages travel and reduces booking volumes. The company\'s 10-K explicitly states that higher oil prices may result in higher airfares and decreased travel activity, which can negatively affect their results [Document ID: 15, 20]. This fits the ""Consumer discretionary sensitivity"" criterion.'}",True
12927,Boeing,BA,156.108423168,Industrials,Aerospace & Defense,"Arlington, Virginia",1916,"{'screening_result': ""Boeing's profit margins are negatively impacted by rising oil prices through two main channels: energy-intensive manufacturing and consumer demand sensitivity. Boeing's airline customers are highly sensitive to fuel prices (which can account for 30% of their cost structure); high oil prices can lead to reduced airline profitability and a potential slowdown in orders or demand for services. Additionally, Boeing's own manufacturing processes are energy-intensive. Research notes an inverse correlation between airline profit margins and fuel prices, and Boeing's stock and margins have historically shown sensitivity to these shocks."", 'passes': ""Boeing's profit margins are negatively impacted by rising oil prices through two main channels: energy-intensive manufacturing and consumer demand sensitivity. Boeing's airline customers are highly sensitive to fuel prices (which can account for 30% of their cost structure); high oil prices can lead to reduced airline profitability and a potential slowdown in orders or demand for services. Additionally, Boeing's own manufacturing processes are energy-intensive. Research notes an inverse correlation between airline profit margins and fuel prices, and Boeing's stock and margins have historically shown sensitivity to these shocks.""}",True
927628,Capital One,COF,143.251881984,Financials,Consumer Finance,"Tysons Corner, Virginia",1994,"{'screening_result': 'Capital One is sensitive to oil prices because high gasoline prices reduce the discretionary income of its core consumer base, leading to higher credit card delinquencies and lower transaction volumes. S&P Global notes that auto lenders like Capital One face headwinds when high energy costs stress consumer repayment capacity. [https://www.spglobal.com/ratings/en/regulatory/article/231018-auto-lenders-face-headwinds-from-high-rates-and-economic-challenges-s12882128]', 'passes': 'Capital One is sensitive to oil prices because high gasoline prices reduce the discretionary income of its core consumer base, leading to higher credit card delinquencies and lower transaction volumes. S&P Global notes that auto lenders like Capital One face headwinds when high energy costs stress consumer repayment capacity. [https://www.spglobal.com/ratings/en/regulatory/article/231018-auto-lenders-face-headwinds-from-high-rates-and-economic-challenges-s12882128]'}",True
100885,Union Pacific Corporation,UNP,137.75568896,Industrials,Rail Transportation,"Omaha, Nebraska",1862,"{'screening_result': 'Union Pacific (UNP) is a major railroad with fuel as a significant operating cost. Like Norfolk Southern, it uses fuel surcharges to mitigate price increases, but these mechanisms often lag, leading to margin pressure when oil prices rise rapidly [Document ID: none, search results note that fuel surcharge revenue can decline with prices, and rising fuel costs have contributed to margin compression in the past due to timing differences].', 'passes': 'Union Pacific (UNP) is a major railroad with fuel as a significant operating cost. Like Norfolk Southern, it uses fuel surcharges to mitigate price increases, but these mechanisms often lag, leading to margin pressure when oil prices rise rapidly [Document ID: none, search results note that fuel surcharge revenue can decline with prices, and rising fuel costs have contributed to margin compression in the past due to timing differences].'}",True
60667,Lowe's,LOW,136.406573056,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959,"{'screening_result': ""Lowe's is a large-cap retailer with an extensive supply chain. Higher oil prices directly increase its transportation and logistics costs, compressing margins. Furthermore, as a home improvement retailer, it is sensitive to consumer discretionary spending; when gas prices rise, consumers may delay large-scale home projects or discretionary purchases. The company's own financial updates list energy and transportation costs as significant risk factors to its margins."", 'passes': ""Lowe's is a large-cap retailer with an extensive supply chain. Higher oil prices directly increase its transportation and logistics costs, compressing margins. Furthermore, as a home improvement retailer, it is sensitive to consumer discretionary spending; when gas prices rise, consumers may delay large-scale home projects or discretionary purchases. The company's own financial updates list energy and transportation costs as significant risk factors to its margins.""}",True
1613103,Medtronic,MDT,130.86531584,Health Care,Health Care Equipment,"Dublin, Ireland",1949,"{'screening_result': 'Medtronic (MDT) is a large-cap medical device manufacturer. Its 10-K explicitly states that prices of oil and gas significantly affect costs for freight and utilities. Industry-wide cost pressures in logistics and energy-intensive medical manufacturing have recently weighed on margins. It meets the criteria for energy-intensive manufacturing and transportation dependency. [Source: Medtronic 10-K 2024/2025; Zacks Equity Research]', 'passes': 'Medtronic (MDT) is a large-cap medical device manufacturer. Its 10-K explicitly states that prices of oil and gas significantly affect costs for freight and utilities. Industry-wide cost pressures in logistics and energy-intensive medical manufacturing have recently weighed on margins. It meets the criteria for energy-intensive manufacturing and transportation dependency. [Source: Medtronic 10-K 2024/2025; Zacks Equity Research]'}",True
315189,Deere & Company,DE,126.825037824,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837,"{'screening_result': ""Deere & Company's margins are impacted by oil prices through two primary channels: the cost of energy-intensive manufacturing (Criterion 4) and the sensitivity of its primary customers (farmers) to fuel costs (Criterion 3). Higher oil prices increase the operating costs for farmers, which can reduce demand for new equipment or force Deere to offer pricing concessions, compressing margins. Historical performance shows a sensitivity to energy prices in the broader agricultural cycle."", 'passes': ""Deere & Company's margins are impacted by oil prices through two primary channels: the cost of energy-intensive manufacturing (Criterion 4) and the sensitivity of its primary customers (farmers) to fuel costs (Criterion 3). Higher oil prices increase the operating costs for farmers, which can reduce demand for new equipment or force Deere to offer pricing concessions, compressing margins. Historical performance shows a sensitivity to energy prices in the broader agricultural cycle.""}",True
927653,McKesson Corporation,MCK,103.201734656,Health Care,Health Care Distributors,"Irving, Texas",1833,"{'screening_result': 'McKesson operates as a health care distributor with very thin net profit margins (approx. 1%). Its business is heavily dependent on logistics and freight. Analyst reports indicate that rising fuel costs increase operating expenses and can disproportionately impact profitability given the low-margin nature of distribution. This fits the criteria for transportation-dependent margin sensitivity.', 'passes': 'McKesson operates as a health care distributor with very thin net profit margins (approx. 1%). Its business is heavily dependent on logistics and freight. Analyst reports indicate that rising fuel costs increase operating expenses and can disproportionately impact profitability given the low-margin nature of distribution. This fits the criteria for transportation-dependent margin sensitivity.'}",True
1164727,Newmont,NEM,99.387727872,Materials,Gold,"Denver, Colorado",1921,"{'screening_result': ""Newmont is a gold mining giant. Mining is extremely energy-intensive, requiring vast amounts of diesel fuel for heavy machinery and electricity for ore processing. If oil prices rise while gold prices remain flat or rise more slowly, Newmont's All-In Sustaining Costs (AISC) increase, directly compressing profit margins. Historical reports confirm fuel costs are a primary driver of production cost increases for Newmont."", 'passes': ""Newmont is a gold mining giant. Mining is extremely energy-intensive, requiring vast amounts of diesel fuel for heavy machinery and electricity for ore processing. If oil prices rise while gold prices remain flat or rise more slowly, Newmont's All-In Sustaining Costs (AISC) increase, directly compressing profit margins. Historical reports confirm fuel costs are a primary driver of production cost increases for Newmont.""}",True
64803,CVS Health,CVS,98.533351424,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996,"{'screening_result': ""CVS Health operates a massive retail and pharmacy network requiring significant logistics and delivery infrastructure. Fuel costs for its fleet and supply chain are a significant operating expense (Criterion 2). The company's sustainability and risk reports have identified fuel price volatility as a factor that can realized through margin erosion if costs are not fully offset. Given the low-margin nature of its retail and pharmacy segments, even small increases in fuel costs can compress net margins."", 'passes': ""CVS Health operates a massive retail and pharmacy network requiring significant logistics and delivery infrastructure. Fuel costs for its fleet and supply chain are a significant operating expense (Criterion 2). The company's sustainability and risk reports have identified fuel price volatility as a factor that can realized through margin erosion if costs are not fully offset. Given the low-margin nature of its retail and pharmacy segments, even small increases in fuel costs can compress net margins.""}",True
829224,Starbucks,SBUX,96.880918528,Consumer Discretionary,Restaurants,"Seattle, Washington",1971,"{'screening_result': 'Starbucks is sensitive to oil prices primarily through the consumer discretionary channel; higher gas prices reduce the disposable income of its customers, leading to lower traffic or trade-down behavior. Additionally, its global supply chain and delivery operations face higher costs when fuel prices rise.', 'passes': 'Starbucks is sensitive to oil prices primarily through the consumer discretionary channel; higher gas prices reduce the disposable income of its customers, leading to lower traffic or trade-down behavior. Additionally, its global supply chain and delivery operations face higher costs when fuel prices rise.'}",True
320187,"Nike, Inc.",NKE,95.979610112,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964,"{'screening_result': ""Nike is a classic example of a company whose margins are negatively impacted by rising oil prices. It is heavily dependent on transportation and logistics for its global supply chain. Historical reports from SGB Media and Reuters explicitly state that Nike's gross margins have been hurt by 'elevated freight costs' and 'higher product costs' during inflationary periods. Additionally, as a consumer discretionary company, its sales volumes are sensitive to the reduced consumer spending that often follows an oil price spike. Nike's gross margin recently fell by 300 basis points partly due to cost headwinds."", 'passes': ""Nike is a classic example of a company whose margins are negatively impacted by rising oil prices. It is heavily dependent on transportation and logistics for its global supply chain. Historical reports from SGB Media and Reuters explicitly state that Nike's gross margins have been hurt by 'elevated freight costs' and 'higher product costs' during inflationary periods. Additionally, as a consumer discretionary company, its sales volumes are sensitive to the reduced consumer spending that often follows an oil price spike. Nike's gross margin recently fell by 300 basis points partly due to cost headwinds.""}",True
1792789,DoorDash,DASH,93.518061568,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",2012,"{'screening_result': 'DoorDash (DASH) is highly sensitive to oil prices. While Dashers (drivers) pay for their own fuel, DoorDash must often increase driver incentives or pay (subsidies) to maintain delivery supply when gas prices spike, directly impacting its take-home margin. Inflation in fuel and food costs has historically squeezed its margins during oil price peaks. [Source: DoorDash Q3 2025 Earnings; Everlance Blog]', 'passes': 'DoorDash (DASH) is highly sensitive to oil prices. While Dashers (drivers) pay for their own fuel, DoorDash must often increase driver incentives or pay (subsidies) to maintain delivery supply when gas prices spike, directly impacting its take-home margin. Inflation in fuel and food costs has historically squeezed its margins during oil price peaks. [Source: DoorDash Q3 2025 Earnings; Everlance Blog]'}",True
1571996,Dell Technologies,DELL,91.40912128,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2016,"{'screening_result': 'Dell Technologies is a hardware manufacturer with global supply chains. The company has recently struggled to protect margins as expedited shipping costs and supply chain disruptions have blunted its demand forecast. Higher fuel prices directly increase the cost of shipping its heavy hardware components and finished products [1571996_1, 1571996_2].', 'passes': 'Dell Technologies is a hardware manufacturer with global supply chains. The company has recently struggled to protect margins as expedited shipping costs and supply chain disruptions have blunted its demand forecast. Higher fuel prices directly increase the cost of shipping its heavy hardware components and finished products [1571996_1, 1571996_2].'}",True
66740,3M,MMM,91.37795072,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902,"{'screening_result': '3M is a diversified global manufacturer with energy-intensive production processes and a heavy reliance on oil-derived raw materials (chemicals, plastics, adhesives). The company has historically cautioned that input costs, including oil and energy, impact its margins. CFO commentary has flagged inflation in these areas as a headwind to operating margins during oil price surges. It meets the criteria for energy-intensive manufacturing.', 'passes': '3M is a diversified global manufacturer with energy-intensive production processes and a heavy reliance on oil-derived raw materials (chemicals, plastics, adhesives). The company has historically cautioned that input costs, including oil and energy, impact its margins. CFO commentary has flagged inflation in these areas as a headwind to operating margins during oil price surges. It meets the criteria for energy-intensive manufacturing.'}",True
40533,General Dynamics,GD,90.706444288,Industrials,Aerospace & Defense,"Reston, Virginia",1899,"{'screening_result': 'General Dynamics (GD) faces margin pressure from rising fuel and energy costs, particularly in its fixed-price defense contracts where cost increases cannot be immediately passed through. Analyst reports and PESTLE analyses note that high and volatile fuel costs can negatively affect its profitability and squeeze margins [3, 6].', 'passes': 'General Dynamics (GD) faces margin pressure from rising fuel and energy costs, particularly in its fixed-price defense contracts where cost increases cannot be immediately passed through. Analyst reports and PESTLE analyses note that high and volatile fuel costs can negatively affect its profitability and squeeze margins [3, 6].'}",True
823768,Waste Management,WM,86.43108864,Industrials,Environmental & Facilities Services,"Houston, Texas",1968,"{'screening_result': 'Waste Management operates a massive fleet of collection vehicles. While they use fuel surcharges and have transitioned much of their fleet to natural gas (CNG), fuel costs remain a significant expense. Surcharge mechanisms often have a lag time, causing short-term margin compression when oil and diesel prices spike.', 'passes': 'Waste Management operates a massive fleet of collection vehicles. While they use fuel surcharges and have transitioned much of their fleet to natural gas (CNG), fuel costs remain a significant expense. Surcharge mechanisms often have a lag time, causing short-term margin compression when oil and diesel prices spike.'}",True
898173,O’Reilly Automotive,ORLY,84.467867648,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",1957,"{'screening_result': ""O'Reilly Automotive is sensitive to gas prices primarily through consumer behavior (Criterion 3). Higher gas prices can lead to a reduction in total vehicle miles driven, which reduces the wear and tear on vehicles and subsequently lowers demand for aftermarket parts. Additionally, as a retailer with a massive distribution network, higher fuel costs increase SG&A expenses. Historical data suggests high gas prices can pressure DIY segment volumes."", 'passes': ""O'Reilly Automotive is sensitive to gas prices primarily through consumer behavior (Criterion 3). Higher gas prices can lead to a reduction in total vehicle miles driven, which reduces the wear and tear on vehicles and subsequently lowers demand for aftermarket parts. Additionally, as a retailer with a massive distribution network, higher fuel costs increase SG&A expenses. Historical data suggests high gas prices can pressure DIY segment volumes.""}",True
89800,Sherwin-Williams,SHW,84.147494912,Materials,Specialty Chemicals,"Cleveland, Ohio",1866,"{'screening_result': 'Sherwin-Williams is a specialty chemicals company whose raw materials (resins, solvents, pigments) are largely petrochemical-derived and sensitive to oil and gas price fluctuations. Higher oil prices increase the cost of goods sold (COGS). While the company has significant pricing power, there is often a temporal lag between raw material cost spikes and the implementation of price increases, leading to temporary margin compression. Historical reports and 10-K filings consistently list raw material cost volatility as a primary risk to profitability. Based on criteria 1 (high energy/input costs) and 4 (energy-intensive manufacturing), it is a candidate for negative oil price impact on margins.', 'passes': 'Sherwin-Williams is a specialty chemicals company whose raw materials (resins, solvents, pigments) are largely petrochemical-derived and sensitive to oil and gas price fluctuations. Higher oil prices increase the cost of goods sold (COGS). While the company has significant pricing power, there is often a temporal lag between raw material cost spikes and the implementation of price increases, leading to temporary margin compression. Historical reports and 10-K filings consistently list raw material cost volatility as a primary risk to profitability. Based on criteria 1 (high energy/input costs) and 4 (energy-intensive manufacturing), it is a candidate for negative oil price impact on margins.'}",True
1048286,Marriott International,MAR,82.699624448,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927,"{'screening_result': ""Marriott International's profit margins are sensitive to oil prices primarily through the consumer discretionary travel channel. Higher oil prices lead to increased airfares and travel costs, which historically reduces occupancy rates and booking volumes, particularly for leisure travel. Additionally, energy is a significant operating expense for hotel properties (heating, cooling, and lighting). While Marriott operates many hotels under management/franchise agreements, its corporate margins are still compressed by lower fee revenue during travel downturns."", 'passes': ""Marriott International's profit margins are sensitive to oil prices primarily through the consumer discretionary travel channel. Higher oil prices lead to increased airfares and travel costs, which historically reduces occupancy rates and booking volumes, particularly for leisure travel. Additionally, energy is a significant operating expense for hotel properties (heating, cooling, and lighting). While Marriott operates many hotels under management/franchise agreements, its corporate margins are still compressed by lower fee revenue during travel downturns.""}",True
4281,Howmet Aerospace,HWM,78.994644992,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1888,"{'screening_result': 'Howmet Aerospace is a manufacturer of aerospace components. Its operations are energy-intensive, particularly in its metal forging and casting segments. Historical financial data shows that segment adjusted EBITDA margins decreased (e.g., by 710 basis points in a 2022 quarter) due to higher energy costs (particularly in Europe) and raw material costs. While it has some pass-through mechanisms, major energy spikes have historically compressed margins.', 'passes': 'Howmet Aerospace is a manufacturer of aerospace components. Its operations are energy-intensive, particularly in its metal forging and casting segments. Historical financial data shows that segment adjusted EBITDA margins decreased (e.g., by 710 basis points in a 2022 quarter) due to higher energy costs (particularly in Europe) and raw material costs. While it has some pass-through mechanisms, major energy spikes have historically compressed margins.'}",True
31462,Ecolab,ECL,76.831154176,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1923,"{'screening_result': ""Ecolab's margins are sensitive to oil prices as it uses oil and natural gas-derived petrochemicals as feedstocks for its chemical products. Historically, it takes time for Ecolab to pass through these costs, leading to margin compression during oil price spikes. [https://yhamiltonblog.substack.com/p/agb-20253-ecolab-ecl, https://balmoraladvisors.com/wp-content/uploads/2025/11/2025-Q3-Chemicals-Industry-Newsletter.pdf]"", 'passes': ""Ecolab's margins are sensitive to oil prices as it uses oil and natural gas-derived petrochemicals as feedstocks for its chemical products. Historically, it takes time for Ecolab to pass through these costs, leading to margin compression during oil price spikes. [https://yhamiltonblog.substack.com/p/agb-20253-ecolab-ecl, https://balmoraladvisors.com/wp-content/uploads/2025/11/2025-Q3-Chemicals-Industry-Newsletter.pdf]""}",True
833444,Johnson Controls,JCI,75.437555712,Industrials,Building Products,"Cork, Ireland",1885,"{'screening_result': 'Johnson Controls (JCI) has a large manufacturing footprint for its HVAC and building systems. Rising operational costs, including energy and materials, have been noted as pressures on its profitability and gross margins in its SWOT analysis (https://matrixbcg.com/products/johnsoncontrols-swot-analysis). However, it is also a beneficiary of energy efficiency trends, making it a ""maybe,"" but the direct manufacturing cost sensitivity to oil/energy makes it lean toward ""yes"" for margin impact. Given the strict criteria on energy-intensive manufacturing, it qualifies.', 'passes': 'Johnson Controls (JCI) has a large manufacturing footprint for its HVAC and building systems. Rising operational costs, including energy and materials, have been noted as pressures on its profitability and gross margins in its SWOT analysis (https://matrixbcg.com/products/johnsoncontrols-swot-analysis). However, it is also a beneficiary of energy efficiency trends, making it a ""maybe,"" but the direct manufacturing cost sensitivity to oil/energy makes it lean toward ""yes"" for margin impact. Given the strict criteria on energy-intensive manufacturing, it qualifies.'}",True
865752,Monster Beverage,MNST,72.993251328,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012 (1935),"{'screening_result': 'Monster Beverage (MNST) is highly sensitive to oil prices due to packaging and logistics costs. Aluminum cans (energy-intensive to produce) and fuel for distribution are major inputs. Historically, rising energy and input costs in 2022 caused its gross profit margin to drop from 56.1% to 50.3%. Despite pricing actions, high oil prices directly compress its margins through increased freight and packaging material costs. [Source: Monster Beverage 2022/2023 Earnings Reports; Zacks Equity Research]', 'passes': 'Monster Beverage (MNST) is highly sensitive to oil prices due to packaging and logistics costs. Aluminum cans (energy-intensive to produce) and fuel for distribution are major inputs. Historically, rising energy and input costs in 2022 caused its gross profit margin to drop from 56.1% to 50.3%. Despite pricing actions, high oil prices directly compress its margins through increased freight and packaging material costs. [Source: Monster Beverage 2022/2023 Earnings Reports; Zacks Equity Research]'}",True
1559720,Airbnb,ABNB,72.549924864,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2008,"{'screening_result': ""Airbnb's margins are sensitive to oil prices because high fuel costs lead to higher airline ticket prices, which is a major driver of travel demand for the platform. When air travel becomes more expensive, booking volumes on Airbnb tend to decrease. As a high-margin platform, even small drops in volume can lead to margin compression due to fixed operating costs."", 'passes': ""Airbnb's margins are sensitive to oil prices because high fuel costs lead to higher airline ticket prices, which is a major driver of travel demand for the platform. When air travel becomes more expensive, booking volumes on Airbnb tend to decrease. As a high-margin platform, even small drops in volume can lead to margin compression due to fixed operating costs.""}",True
49826,Illinois Tool Works,ITW,72.402771968,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1912,"{'screening_result': ""Illinois Tool Works (ITW) is a diversified industrial manufacturer. Its operations are energy-intensive and require significant raw material inputs. The company's 10-K filings state that prices for raw materials and energy have fluctuated significantly and that it has experienced upward pricing pressure. While ITW uses 'enterprise initiatives' to expand margins, high energy and commodity inflation (often following oil spikes) are noted as headwinds that can compress margins if not fully offset by price hikes. Analysts have noted that modest revenue growth and cost pressures can lead to lower margins."", 'passes': ""Illinois Tool Works (ITW) is a diversified industrial manufacturer. Its operations are energy-intensive and require significant raw material inputs. The company's 10-K filings state that prices for raw materials and energy have fluctuated significantly and that it has experienced upward pricing pressure. While ITW uses 'enterprise initiatives' to expand margins, high energy and commodity inflation (often following oil spikes) are noted as headwinds that can compress margins if not fully offset by price hikes. Analysts have noted that modest revenue growth and cost pressures can lead to lower margins.""}",True
